id,created_at,subject,body,true_category
TKT-1000,2026-02-04 22:06,Cannot reset my password,I clicked 'Forgot Password' and entered my email but I never receive the reset link. I have checked spam and waited an hour. My account email is the one I used to open this ticket.,Account & Access
TKT-1001,2026-02-06 06:29,Need to change account email address,I changed jobs and need to update the email on my account from my old work address to my personal email. I still have access to the old email to verify.,Account & Access
TKT-1002,2026-01-14 22:04,Unexpected charge after cancellation,"I cancelled my account two weeks ago and received a confirmation email, yet I was still charged this month. Please reverse this charge immediately.",Billing & Payments
TKT-1003,2026-02-18 03:57,Package arrived damaged,The box arrived today but it was clearly damaged in transit — one corner is completely crushed and the item inside is broken. I have taken photos. What is the process for a replacement?,Shipping & Delivery
TKT-1004,2026-03-05 17:53,Login page keeps redirecting to itself,When I try to log in I enter my credentials and the page just refreshes and shows the login form again. I never get into my account. I have cleared cache and cookies.,Technical Support
TKT-1005,2026-02-06 19:18,Multiple accounts merged without permission,It looks like my personal and company accounts were merged. I now see data from both in one dashboard which is a serious privacy issue. Please separate them immediately.,Account & Access
TKT-1006,2026-01-29 14:24,Sync not working between mobile and desktop,My data on the mobile app is not syncing with the desktop version. I added 15 items on my phone today and none of them appear when I log in from my computer.,Technical Support
TKT-1007,2026-03-07 01:35,Cannot update payment method,I am trying to update my credit card but the payment page keeps showing an error: 'Unable to save card'. I have tried three different browsers and it still fails.,Billing & Payments
TKT-1008,2026-01-12 17:56,Auto-renewal turned on without my consent,I did not authorize auto-renewal on my account. I see it was enabled last month and I was charged. I would like a refund and to turn off auto-renewal.,Billing & Payments
TKT-1009,2026-02-21 01:06,Exchange instead of refund not processed,"I asked for an exchange for a different size, not a refund. The agent I chatted with confirmed an exchange. However I received a refund to my original payment and no replacement was sent.",Returns & Refunds
TKT-1010,2026-02-15 21:47,SSO login not working with our identity provider,We configured SAML SSO with our company's Okta instance following your documentation. When users try to log in via SSO they get a generic error page after being redirected back.,Account & Access
TKT-1011,2026-01-15 01:26,Order shipped to wrong country,My order was shipped to Germany but I am in Canada. I double-checked my account and my address shows Canada. This seems like a system error on your end.,Shipping & Delivery
TKT-1012,2026-03-16 12:17,Compatibility with Windows 11,Before purchasing I want to confirm the desktop application is fully compatible with Windows 11. Are there any known issues with the latest Windows update?,Product Information
TKT-1013,2026-01-03 18:51,What file formats can I import?,"I have data in multiple formats: CSV, Excel, and JSON. Can your import feature handle all three? Are there any row or file size limits I should be aware of?",Product Information
TKT-1014,2025-12-24 22:39,Teammate cannot accept invitation,I sent an invitation to a colleague three days ago. She received the email but when she clicks the link it says 'Invitation expired or invalid'. Can you resend or generate a new link?,Account & Access
